Quarter,"Total Store and
Non-store
Sales","Total
E-commerce",E-commerce percentage,Real Disposable Income,Personal Saving Percentage of Real Disposable Income,Financial Obligations Percentage of Real Disposable Income,National Unemployment Rate,Mall Vacancies Percentage,,,,,,,,,,,,,,,,
6/30/2023,"1,832,564","269,517",0.15,16785.9,3.8,,3.5,,,,,,,,,,,,,,,,,
3/31/2023,"1,680,614","252,773",0.15,16770.5,5.2,14.453382,3.4,8.8,,,,,,,,,,,,,,,,
12/31/2022,"1,857,200","303,120",0.16,16601.9,4.8,14.489011,3.4,,,,,,,,,,,,,,,,,
9/30/2022,"1,791,403","252,107",0.14,16223.5,3.2,14.686451,3.7,,,,,,,,,,,,,,,,,
6/30/2022,"1,823,059","250,341",0.14,16109.3,3.2,14.624475,3.5,,,,,,,,,,,,,,,,,
3/31/2022,"1,623,365","234,454",0.14,16042.6,3,14.579491,3.6,8.6,,,,,,,,,,,,,,,,
12/31/2021,"1,755,679","283,542",0.16,16080.8,3.9,14.499621,4,,,,,,,,,,,,,,,,,
9/30/2021,"1,631,481","226,918",0.14,16547.4,6.3,14.137428,4.5,,,,,,,,,,,,,,,,,
6/30/2021,"1,676,892","233,659",0.14,16836.1,8.5,13.977472,5.4,,,,,,,,,,,,,,,,,
3/31/2021,"1,458,557","214,596",0.15,17316.6,10.3,13.734573,6.1,8.4,,,,,,,,,,,,,,,,
12/31/2020,"1,542,238","258,313",0.17,18107.3,19.9,12.552008,6.3,,,,,,,,,,,,,,,,,
9/30/2020,"1,454,052","206,532",0.14,16561.9,12.3,14.049981,6.9,,,,,,,,,,,,,,,,,
6/30/2020,"1,318,436","205,293",0.16,17193.2,15.1,13.718097,10.2,,,,,,,,,,,,,,,,,
3/31/2020,"1,257,304","147,057",0.12,18020.2,24.5,13.230874,14.7,7,,,,,,,,,,,,,,,,
12/31/2019,"1,441,109","179,018",0.12,15852.5,9.1,14.602245,3.5,,,,,,,,,,,,,,,,,
9/30/2019,"1,361,768","138,714",0.10,15718.1,7,14.685981,3.6,,,,,,,,,,,,,,,,,
6/30/2019,"1,364,419","132,312",0.10,15565.7,7,14.700788,3.7,,,,,,,,,,,,,,,,,
3/31/2019,"1,229,298","121,670",0.10,15524.4,7.3,14.702348,3.6,5.1,,,,,,,,,,,,,,,,
12/31/2018,"1,394,085","155,723",0.11,15501.7,8.2,14.655687,4,,,,,,,,,,,,,,,,,
9/30/2018,"1,314,622","120,604",0.09,15274.1,7.2,14.702169,3.8,,,,,,,,,,,,,,,,,
6/30/2018,"1,327,803","119,604",0.09,15184.7,6.6,14.746722,3.8,,,,,,,,,,,,,,,,,
3/31/2018,"1,215,138","111,691",0.09,15007.2,6.1,14.793204,4,4.4,,,,,,,,,,,,,,,,
