quarter,e-commerce_percentage,general_retail,malls,power_centers,shopping_centers
6/30/2023,14.71,2.5,9,4.2,5.3
3/31/2023,15.04,2.5,8.8,4.6,5.4
12/31/2022,16.32,2.5,8.9,4.4,5.4
9/30/2022,14.07,2.6,8.9,4.6,5.6
6/30/2022,13.73,2.6,8.6,4.8,5.7
3/31/2022,14.44,2.7,8.7,5.1,5.9
12/31/2021,16.15,2.7,8.9,5.3,6.1
9/30/2021,13.91,2.8,8.9,5.5,6.4
6/30/2021,13.93,3.1,8.8,5.6,6.8
3/31/2021,14.71,3.1,8.4,5.7,7
12/31/2020,16.75,3.2,8.1,5.4,7
9/30/2020,14.2,3.2,7.5,5.3,7
6/30/2020,15.57,3.1,7,5,6.7
3/31/2020,11.7,3,6.4,5,6.4
12/31/2019,12.42,3,5.9,4.9,6.3
9/30/2019,10.19,2.9,5.6,4.9,6.3
6/30/2019,9.7,2.9,5.4,4.9,6.3
3/31/2019,9.9,3,5.1,4.8,6.3
12/31/2018,11.17,3,4.8,4.7,6.3
9/30/2018,9.17,2.8,4.6,4.6,6.4
6/30/2018,9.01,3,4.6,4.5,6.6
3/31/2018,9.19,3,4.4,4.4,6.7
